2019-05-31 20:46:49 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  13,9; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 167.0; Tile: ROAD
2019-05-31 20:46:49 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  12,9; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 166.0; Tile: ROAD
2019-05-31 20:46:49 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,9; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 165.0; Tile: ROAD
2019-05-31 20:46:49 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  10,9; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 164.0; Tile: ROAD
2019-05-31 20:46:49 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   9,9; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 163.0; Tile: ROAD
2019-05-31 20:46:49 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   8,9; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 162.0; Tile: ROAD
2019-05-31 20:46:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,10; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 161.0; Tile: ROAD
2019-05-31 20:46:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,11; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 160.0; Tile: ROAD
2019-05-31 20:46:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,12; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 159.0; Tile: ROAD
2019-05-31 20:46:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,13; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 158.0; Tile: ROAD
2019-05-31 20:46:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,14; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 157.0; Tile: ROAD
2019-05-31 20:46:49 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  9,14; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 156.0; Tile: ROAD
2019-05-31 20:46:50 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 10,14; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 155.0; Tile: ROAD
2019-05-31 20:46:50 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 11,14; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 154.0; Tile: ROAD
2019-05-31 20:46:50 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 12,14; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 153.0; Tile: ROAD
2019-05-31 20:46:50 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 13,14; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 152.0; Tile: ROAD
2019-05-31 20:46:50 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 13,15; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 151.0; Tile: ROAD
2019-05-31 20:46:50 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 14,15; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 150.0; Tile: ROAD
2019-05-31 20:46:50 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 15,15; Parcels:      3; Health:  55.0; Health Usage: 100.0; Fuel: 149.0; Tile: TRAP(lava)
2019-05-31 20:46:50 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 16,15; Parcels:      4; Health:  55.0; Health Usage: 100.0; Fuel: 148.0; Tile: ROAD
2019-05-31 20:46:50 INFO  Car - Speed:   0.0; Angle:   WEST; Position: 16,15; Parcels:      4; Health:  55.0; Health Usage: 100.0; Fuel: 148.0; Tile: ROAD
2019-05-31 20:46:50 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 15,15; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 147.0; Tile: TRAP(lava)
2019-05-31 20:46:50 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 14,15; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 146.0; Tile: ROAD
2019-05-31 20:46:50 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 13,15; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 145.0; Tile: ROAD
2019-05-31 20:46:51 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 13,14; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 144.0; Tile: ROAD
2019-05-31 20:46:51 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 12,14; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 143.0; Tile: ROAD
2019-05-31 20:46:51 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 11,14; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 142.0; Tile: ROAD
2019-05-31 20:46:51 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 10,14; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 141.0; Tile: ROAD
2019-05-31 20:46:51 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  9,14; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 140.0; Tile: ROAD
2019-05-31 20:46:51 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  8,14; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 139.0; Tile: ROAD
2019-05-31 20:46:51 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,13; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 138.0; Tile: ROAD
2019-05-31 20:46:51 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,12; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 137.0; Tile: ROAD
2019-05-31 20:46:51 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,11; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 136.0; Tile: ROAD
2019-05-31 20:46:51 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,10; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 135.0; Tile: ROAD
2019-05-31 20:46:51 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   8,9; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 134.0; Tile: ROAD
2019-05-31 20:46:51 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   8,8; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 133.0; Tile: ROAD
2019-05-31 20:46:52 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   8,7; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 132.0; Tile: ROAD
2019-05-31 20:46:52 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   8,6; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 131.0; Tile: ROAD
2019-05-31 20:46:52 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   8,5; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 130.0; Tile: ROAD
2019-05-31 20:46:52 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   9,5; Parcels:      4; Health:  50.0; Health Usage: 100.0; Fuel: 129.0; Tile: ROAD
